#Total_Obs_CSFR: total observed cosmic star formation rate (Msun/yr/Mpc^3)
#Total_Obs_CSFR_UV: total observed cosmic star formation rate (Msun/yr/Mpc^3) for galaxies with M_1500 < -17
#True_CSFR: total true cosmic star formation rate (Msun/yr/Mpc^3)
#Scale Total_Obs_CSFR Err+ Err- Total_Obs_CSFR_UV Err+ Err- True_CSFR Err+ Err-
0.47581 0.0933418 0.00251909 0.00467863 0.089948 0.00261194 0.00464271 0.059247 0.00737522 0.0107816
0.480872 0.0910265 0.0026334 0.00434141 0.0876591 0.00278825 0.0044408 0.0583081 0.00746643 0.0104959
0.485935 0.0890223 0.00290167 0.00408305 0.0856766 0.00287355 0.00432785 0.0575009 0.00754074 0.0102468
0.490997 0.0866207 0.00318248 0.00391428 0.0832981 0.00304473 0.003905 0.0564834 0.00757019 0.00995276
0.49606 0.0843424 0.00329439 0.00379352 0.0810379 0.00336194 0.00371767 0.055483 0.00758215 0.00964846
0.501122 0.0821523 0.00337288 0.0036702 0.0788672 0.00337366 0.0037052 0.0544928 0.0076666 0.00934144
0.506185 0.0800426 0.00348785 0.00334257 0.0767794 0.00340931 0.00340433 0.0535498 0.00769105 0.00904816
0.511247 0.0779338 0.00352339 0.00307138 0.0746885 0.00347367 0.00310931 0.05256 0.00764336 0.00875076
0.51631 0.0758121 0.0034709 0.00291934 0.0725849 0.00355978 0.00288456 0.0515356 0.00769217 0.00844601
0.521372 0.0738238 0.00357414 0.00260595 0.0706074 0.00354006 0.00262064 0.0505815 0.0076279 0.00821726
0.526435 0.0718889 0.00361359 0.00237507 0.0686904 0.00370297 0.00233009 0.0496326 0.00750627 0.0079927
0.531497 0.0700673 0.00359103 0.00213633 0.0668878 0.00373198 0.00208054 0.0486834 0.00737921 0.00779426
0.53656 0.0681214 0.00365834 0.0017731 0.0649584 0.00381347 0.00176712 0.0477289 0.0072902 0.0076181
0.541622 0.0663935 0.00365822 0.00165537 0.0632432 0.00379251 0.00173275 0.0468432 0.00721014 0.00741104
0.546685 0.0645582 0.00371251 0.00157275 0.0614306 0.00385776 0.0015002 0.0458667 0.007115 0.00725367
0.551747 0.0627886 0.00383464 0.00140034 0.0596738 0.00379008 0.00129553 0.0449103 0.00701044 0.00707374
0.55681 0.0610759 0.00389616 0.00126635 0.057977 0.00384903 0.00117257 0.0439678 0.00705661 0.00692073
0.561872 0.0594858 0.00398089 0.00108295 0.0563994 0.00392526 0.00112216 0.0431025 0.00711415 0.00677594
0.566935 0.0578759 0.00400426 0.00102387 0.0548033 0.00385608 0.00110866 0.0421956 0.00698966 0.00659001
0.571997 0.0564454 0.00396289 0.000958962 0.053374 0.0039056 0.00109654 0.0414047 0.00705962 0.00633617
0.57706 0.0549571 0.00390233 0.000972334 0.0518912 0.00385428 0.00106276 0.0405507 0.00709811 0.00622204
0.582123 0.0535575 0.00389805 0.00091377 0.0505002 0.00386729 0.0010477 0.0397435 0.00690173 0.00615768
